position,position_label,layer,mean,std,ci_low,ci_high,n_pairs
6,"first role token (e.g., scientist)",5,0.0018241802049828186,0.014561633687799745,-0.005006145400120187,0.00842338225045772,16
6,"first role token (e.g., scientist)",6,0.005962089882098957,0.015100499237144285,-0.0008630604933267275,0.013302346534989875,16
6,"first role token (e.g., scientist)",7,0.005230948066398319,0.015929648905046282,-0.002075398705341623,0.012905754264113443,16
6,"first role token (e.g., scientist)",8,0.005250742124605157,0.015957981214859928,-0.0022512989582900524,0.012618105848406513,16
6,"first role token (e.g., scientist)",9,0.018746175850617306,0.021995929495555483,0.007983707612569575,0.02894059378898804,16
6,"first role token (e.g., scientist)",10,0.024183337200388587,0.02649518275811878,0.012377640699967458,0.037160039358193946,16
6,"first role token (e.g., scientist)",11,0.025537757679711306,0.02180353762862726,0.01542315893385527,0.03588387524086718,16
6,"first role token (e.g., scientist)",12,0.023309697468005045,0.021385595125856114,0.013303785992855548,0.033305868334498605,16
6,"first role token (e.g., scientist)",13,0.01818745324574865,0.01983963041223459,0.008886543636902907,0.027415563021919775,16
6,"first role token (e.g., scientist)",14,0.01663019874460654,0.018259852382803716,0.008040627582990663,0.02518426921567975,16
6,"first role token (e.g., scientist)",15,0.017753788699394445,0.014170602354793194,0.011097931528453,0.02448878922365292,16
6,"first role token (e.g., scientist)",16,0.014761115267842337,0.015696003967133457,0.007277742257795021,0.021731631712055582,16
6,"first role token (e.g., scientist)",17,0.01746026632525912,0.017609776916422116,0.009162262912704191,0.025566409756137554,16
6,"first role token (e.g., scientist)",18,0.019539826137230244,0.013882165271469678,0.013132763121274121,0.02606053116277128,16
6,"first role token (e.g., scientist)",19,0.017614994694188094,0.015228106813626172,0.011147088519949343,0.02522418202645508,16
6,"first role token (e.g., scientist)",20,0.01694310785654448,0.016474239088722836,0.009045238296281502,0.024637933573839015,16
6,"first role token (e.g., scientist)",21,0.017375395649441988,0.013049900748492074,0.01119369894081083,0.023619220109127162,16
6,"first role token (e.g., scientist)",22,0.014870743465292468,0.014532585873170845,0.008091259838986661,0.021757097447544227,16
6,"first role token (e.g., scientist)",23,0.012948928052380307,0.007421578087732323,0.00919190706914491,0.016310133902231076,16
6,"first role token (e.g., scientist)",24,0.011361331852777198,0.007766554601796409,0.00768860192533487,0.014943028194866622,16
6,"first role token (e.g., scientist)",25,0.011659218424055063,0.009238129483670603,0.007119688069538689,0.015956225603576693,16
6,"first role token (e.g., scientist)",26,0.011116177217647282,0.00938950803900104,0.0067375390099708565,0.0158659194936896,16
6,"first role token (e.g., scientist)",27,0.011267469705796394,0.009757460774301743,0.006796529084793108,0.01600281125024842,16
6,"first role token (e.g., scientist)",28,0.01078195800433825,0.007384689215564373,0.007279801890699037,0.014140110220209001,16
6,"first role token (e.g., scientist)",29,0.009064925037305287,0.007150776866126508,0.005660154540029419,0.012447013222695914,16
6,"first role token (e.g., scientist)",30,0.0028554801215184685,0.010537751235273648,-0.0019192008299979625,0.007838837233743751,16
6,"first role token (e.g., scientist)",31,0.003990629694168037,0.008091546546773487,-0.00013173688343116885,0.0076997996602313785,16
6,"first role token (e.g., scientist)",32,0.004668338171364906,0.00781415467667817,0.0008844964034637501,0.008360411624017896,16
6,"first role token (e.g., scientist)",33,0.003774597768577288,0.008405131269313982,-0.00022178557981928336,0.007751673105539098,16
6,"first role token (e.g., scientist)",34,0.0018881616208423374,0.004111961871993041,0.0,0.004080424261147138,16
6,"first role token (e.g., scientist)",35,0.0,0.0,0.0,0.0,16
7,"period "".""",0,-0.00011742926613616243,0.008752350901733602,-0.004177539900983237,0.004000621063636709,16
7,"period "".""",1,-0.0007331903943053813,0.010779889601937986,-0.005532225908596009,0.004533161453569957,16
7,"period "".""",2,0.004182027885296831,0.010358571146345743,-0.0007934297309772684,0.0089039546711353,16
7,"period "".""",3,-0.001829116072728456,0.01791875684356925,-0.011244766088122532,0.0056712156151129565,16
7,"period "".""",4,-0.001296191553544481,0.017734846978381853,-0.009351728015482558,0.007014251479667223,16
7,"period "".""",5,0.0033298806422090007,0.029162365853942624,-0.010423054265362181,0.017112270606601376,16
7,"period "".""",6,0.004312937597673913,0.0262671826329533,-0.007313993598201416,0.01775875759235086,16
7,"period "".""",7,0.0013501148829337256,0.022791737031234056,-0.009336018380987294,0.01219776955461812,16
7,"period "".""",8,0.0010347508627504254,0.0205684330316113,-0.008495894157028196,0.01074367053980846,16
7,"period "".""",9,0.00024990965937657546,0.025422806823749144,-0.011553375517656,0.011897010746521245,16
7,"period "".""",10,-0.0007058492234378938,0.016059756327033253,-0.007984094566953589,0.007149659562620185,16
7,"period "".""",11,0.0006829409620833309,0.014896213512964242,-0.006068999639839462,0.008163331492461888,16
7,"period "".""",12,0.0038046167986425248,0.011415112403120787,-0.0017033009833954998,0.008906568132883909,16
7,"period "".""",13,0.004830684783953738,0.01586250770977196,-0.0026898322321282407,0.012171495665637163,16
7,"period "".""",14,0.001717790988615094,0.014861114860729737,-0.005591323023041787,0.00872001103203389,16
7,"period "".""",15,0.002549865594081,0.014266685138335417,-0.0039467946112589965,0.009496918673215454,16
7,"period "".""",16,0.0025591095934048686,0.014805968439250822,-0.003944135374046095,0.010023579817247993,16
7,"period "".""",17,-0.0007158367325710124,0.013676316740406926,-0.007238113204631661,0.0053013392857142756,16
7,"period "".""",18,3.7175315621756347e-05,0.014717966536367148,-0.007151390812753652,0.0068288360196981646,16
7,"period "".""",19,0.0035138865129211876,0.013279266188503948,-0.0028200687694418555,0.0097977460836788,16
7,"period "".""",20,0.0005869064493267187,0.011306115681736168,-0.0049074317226890625,0.0060812446213424996,16
7,"period "".""",21,0.00045672617208761864,0.010165182381972076,-0.004191706730769216,0.005474439323801611,16
7,"period "".""",22,0.005228155977984325,0.008487735040987921,0.0015060240963855375,0.009465988955823268,16
7,"period "".""",23,0.004218697707496643,0.007293743681389866,0.0011351495726495686,0.008053656432621495,16
7,"period "".""",24,0.012257625890489907,0.007273635890640853,0.008757286723665396,0.015485554907930637,16
7,"period "".""",25,0.009888975623132751,0.008011483749948218,0.006072206834894044,0.01364912414038595,16
7,"period "".""",26,0.014250465766365475,0.010021509835819151,0.009397616160930163,0.018922365212029685,16
7,"period "".""",27,0.01388614287098275,0.00940492044603972,0.009575217502545145,0.018494607748391085,16
7,"period "".""",28,0.013304259476599356,0.011465493543296663,0.007484677321928551,0.018518914724643377,16
7,"period "".""",29,0.017470462710673332,0.011737923827219478,0.012091366975326192,0.02327870705541422,16
7,"period "".""",30,0.015830023871658883,0.011408502509654073,0.010482044115077103,0.021402408846782524,16
7,"period "".""",31,0.016448253429082713,0.01168561151883055,0.010911533225883103,0.02218528807667572,16
7,"period "".""",32,0.019924964626382144,0.012513900550142652,0.013875903871077231,0.026005327946009318,16
7,"period "".""",33,0.014393733681214138,0.011923273832728818,0.008860977027837169,0.02020308731476164,16
7,"period "".""",34,0.012094521256318963,0.008020255595393587,0.008185320868649159,0.015862698016340476,16
7,"period "".""",35,0.0,0.0,0.0,0.0,16
8,"""The""",0,-0.0003663569622145938,0.009264465220910357,-0.004792899935260422,0.004064837072649569,16
8,"""The""",1,0.0021370893169207687,0.009304929168743314,-0.0023172369909502167,0.006386373258635954,16
8,"""The""",2,-0.0006993126605195563,0.009616918818727898,-0.005398499014531018,0.003923883635503533,16
8,"""The""",3,-0.0015965600750862496,0.01221704415583833,-0.007952052051557558,0.0036845713978815274,16
8,"""The""",4,-0.001073426165337925,0.012220469875664807,-0.006642809192287883,0.0047702614639364305,16
8,"""The""",5,0.0018690834767641938,0.007386832157417737,-0.0016025641025640938,0.0055380079431024435,16
8,"""The""",6,-0.0013002741989810939,0.009867474307257656,-0.006105777117247559,0.0033323329271162765,16
8,"""The""",7,0.001822706269272,0.011047603578664498,-0.0033552853656003308,0.00704261138354731,16
8,"""The""",8,0.0012601114396735003,0.009204064962195614,-0.003045959430393993,0.0056565935156065355,16
8,"""The""",9,-0.0015707349473830124,0.011757801477884406,-0.007368719994677426,0.0040439235491825515,16
8,"""The""",10,0.0014011364114091813,0.01337044287310736,-0.0050987848668562165,0.007775255711932386,16
8,"""The""",11,0.0014633923541613125,0.012214311193449241,-0.004309173158554283,0.0072255415253846935,16
8,"""The""",12,0.0040884888438133815,0.009947354602036456,-0.0006081569591806625,0.00881722453017457,16
8,"""The""",13,0.007779311138324326,0.020715291471881545,-0.001690113882590004,0.01775119165153913,16
8,"""The""",14,0.010099760552064175,0.015657029913675666,0.0028747767049320835,0.0178641419842787,16
8,"""The""",15,0.006978590208926919,0.012867731647868148,0.0011456476200855127,0.013271983358813598,16
8,"""The""",16,0.011733495942772173,0.014843590276964977,0.004841883928502883,0.018954393083793878,16
8,"""The""",17,0.008673543513524617,0.012742218718665493,0.002750836924218491,0.014679725958325346,16
8,"""The""",18,0.01206271969681845,0.01938736189794114,0.003112860272560487,0.022147124121757508,16
8,"""The""",19,0.010315792477654925,0.01600466483667712,0.002797396237704757,0.017865384624767718,16
8,"""The""",20,0.010048292130920294,0.0156152878016911,0.002638631390737902,0.017503978678054425,16
8,"""The""",21,0.012505586135043087,0.014471926907664143,0.0056848964556785574,0.019358631698863024,16
8,"""The""",22,0.011234910124713737,0.014286216355144083,0.00480146571391144,0.018189108260264802,16
8,"""The""",23,0.013018379415851569,0.010571341459872369,0.008116639694211367,0.018258215183309962,16
8,"""The""",24,0.029167823901875438,0.013441180261453968,0.02265486682042134,0.03537402868263165,16
8,"""The""",25,0.030550175697496053,0.015962022918427295,0.022780094339580774,0.038056655198841265,16
8,"""The""",26,0.04149122725866945,0.02150704613191303,0.03194791307141861,0.05206837732390666,16
8,"""The""",27,0.03979200892071055,0.024103384914485427,0.029435287719301467,0.05187808587036816,16
8,"""The""",28,0.04171005127267419,0.022274145777427052,0.03167008229915232,0.05258130317835671,16
8,"""The""",29,0.03953383722530826,0.025217852657242513,0.0283242052743327,0.05216374785093228,16
8,"""The""",30,0.03436591818867909,0.024263334691059558,0.023616544505373618,0.04616865502249211,16
8,"""The""",31,0.023390245383910612,0.019110629384800862,0.014900045007663253,0.03307608387202497,16
8,"""The""",32,0.02451084789501268,0.019895485851334015,0.015575497412672301,0.03435382567695361,16
8,"""The""",33,0.023765846345449072,0.019407743075050905,0.015282765981154068,0.03330479416461946,16
8,"""The""",34,0.017923991892571555,0.020077041639096356,0.008948843308755366,0.028069432096266084,16
8,"""The""",35,0.0,0.0,0.0,0.0,16
9,"second role token (e.g., scientist)",0,-0.00196415053799555,0.008653993534748574,-0.006138512771593802,0.0018834351830398438,16
9,"second role token (e.g., scientist)",1,-0.0018344622331691249,0.008640969169557101,-0.005897211300650278,0.00222818796193175,16
9,"second role token (e.g., scientist)",2,0.00128568403921655,0.013731479127779186,-0.005386896852114337,0.007921918767506999,16
9,"second role token (e.g., scientist)",3,0.0011178815536872688,0.010806227853076973,-0.004353858744271964,0.0056454067184488685,16
9,"second role token (e.g., scientist)",4,-0.0008641422141358744,0.01703530044651532,-0.009404515615789854,0.006490950876855487,16
9,"second role token (e.g., scientist)",5,-0.0026496455721055747,0.01785545781741058,-0.011665722833051752,0.00516371781937197,16
9,"second role token (e.g., scientist)",6,0.00536766490655575,0.015264716703246813,-0.002025575584131013,0.012318466766373734,16
9,"second role token (e.g., scientist)",7,0.00048632436073935636,0.011403157066288111,-0.005117336055095707,0.0057046771057940385,16
9,"second role token (e.g., scientist)",8,-0.0001442353663739309,0.015960618108286532,-0.008080936117136445,0.007140169842264964,16
9,"second role token (e.g., scientist)",9,0.003311715311957013,0.023993016892594563,-0.009132069903091993,0.014439441329201545,16
9,"second role token (e.g., scientist)",10,0.008308016694654956,0.022756499897260668,-0.002765915798531844,0.018103034725303124,16
9,"second role token (e.g., scientist)",11,0.009832037254377144,0.016266343695459668,0.0020244901363022844,0.017251106886816754,16
9,"second role token (e.g., scientist)",12,0.006980064144637738,0.01766088349196052,-0.0020449508305327483,0.014275375923874675,16
9,"second role token (e.g., scientist)",13,0.010008438956100783,0.015010612078761316,0.0026604708279658203,0.01706077230446411,16
9,"second role token (e.g., scientist)",14,0.006833036689849831,0.01126974849161683,0.0015559409176075954,0.01209690855368994,16
9,"second role token (e.g., scientist)",15,0.006275281536506444,0.011125869947876305,0.0009396005773758252,0.011580992339357922,16
9,"second role token (e.g., scientist)",16,0.009550199276038156,0.016401804635515865,0.0019374102259185101,0.017346801303937093,16
9,"second role token (e.g., scientist)",17,0.01000337533812965,0.012992840581304111,0.003533440229360248,0.016017670211465437,16
9,"second role token (e.g., scientist)",18,0.00935175803780545,0.010506795692175719,0.004237476664276591,0.014135062524391855,16
9,"second role token (e.g., scientist)",19,0.009597684215526769,0.014679023299534188,0.00284115610999975,0.01677006748938107,16
9,"second role token (e.g., scientist)",20,0.009594386633690832,0.012767836489576185,0.003530144038235884,0.01563884761012176,16
9,"second role token (e.g., scientist)",21,0.01414009362200452,0.015068215028236864,0.007122467087886564,0.021340869162012367,16
9,"second role token (e.g., scientist)",22,0.012291279682559731,0.012887657119290505,0.00596456894530683,0.01842935509175684,16
9,"second role token (e.g., scientist)",23,0.018580488557975488,0.01195127794598679,0.013137266239501861,0.024379910892197675,16
9,"second role token (e.g., scientist)",24,0.024277572573849368,0.015172868438368136,0.01726870649833233,0.03166238583470546,16
9,"second role token (e.g., scientist)",25,0.025454861916310495,0.012469918955767208,0.019372299165576902,0.03101814757128046,16
9,"second role token (e.g., scientist)",26,0.03269682870984563,0.016634623361023077,0.02501393633737408,0.04084266941160449,16
9,"second role token (e.g., scientist)",27,0.029465255654376014,0.016912734502709827,0.022101561203206964,0.0379590154210148,16
9,"second role token (e.g., scientist)",28,0.026945270791416308,0.01903783710170953,0.018376299214518985,0.03608388399097668,16
9,"second role token (e.g., scientist)",29,0.02409962481465211,0.019963845682143194,0.015347593697090394,0.034194974564344935,16
9,"second role token (e.g., scientist)",30,0.017455576487429975,0.018745425160645725,0.009639550525111357,0.026967549846485132,16
9,"second role token (e.g., scientist)",31,0.019047930129908557,0.012902751779666233,0.013320342835870412,0.02566138182717926,16
9,"second role token (e.g., scientist)",32,0.020133911397415563,0.009413609392075924,0.01589711198198925,0.024911422312198995,16
9,"second role token (e.g., scientist)",33,0.015707234370410758,0.007976211999609066,0.011706845955553777,0.019386213958941995,16
9,"second role token (e.g., scientist)",34,0.01833405633317022,0.009258072838090875,0.014054889928682918,0.02271721839663095,16
9,"second role token (e.g., scientist)",35,0.0,0.0,0.0,0.0,16
10,"final ""was"" (next-token readout)",0,-0.0009372148186024375,0.0074142001475274106,-0.004445783885015068,0.0024873130341880314,16
10,"final ""was"" (next-token readout)",1,0.0006165046379784626,0.006648932028505445,-0.0023209549071617937,0.004101226333907044,16
10,"final ""was"" (next-token readout)",2,-0.0006516173003241936,0.008443657548428225,-0.004596203374922084,0.003413219772325375,16
10,"final ""was"" (next-token readout)",3,0.0004769957094070314,0.009890886852708466,-0.004423085800318869,0.004934702753320956,16
10,"final ""was"" (next-token readout)",4,-0.0013318939242190435,0.013894294580205543,-0.0077646852338485355,0.0053662558986440085,16
10,"final ""was"" (next-token readout)",5,0.0020064035462597123,0.018799601956782413,-0.006987693881155474,0.010528299178900219,16
10,"final ""was"" (next-token readout)",6,0.0020335057099762884,0.02197082975323205,-0.009210906010414473,0.011621256826047695,16
10,"final ""was"" (next-token readout)",7,-0.0032927468803786624,0.025187846895866308,-0.01589744426443456,0.00833964441229551,16
10,"final ""was"" (next-token readout)",8,-0.004411049275479418,0.024936111792915983,-0.01671935396818546,0.006582932598942782,16
10,"final ""was"" (next-token readout)",9,4.250696428955737e-05,0.027702229165620488,-0.01329693969464909,0.013075639775495482,16
10,"final ""was"" (next-token readout)",10,-0.0026961050129774115,0.03956462189808906,-0.02188317814821655,0.015887765515124535,16
10,"final ""was"" (next-token readout)",11,0.002021584842218281,0.05768321179721051,-0.026786867126595074,0.028464983553214463,16
10,"final ""was"" (next-token readout)",12,3.786418773190324e-05,0.05486180653490612,-0.02703256485389744,0.025294340363870352,16
10,"final ""was"" (next-token readout)",13,0.0011155689074403077,0.05287447753161993,-0.023885431628304494,0.02607249379340096,16
10,"final ""was"" (next-token readout)",14,0.0010076375966533886,0.05694660517987543,-0.02654351296392084,0.027238531079436634,16
10,"final ""was"" (next-token readout)",15,0.0012964049465420697,0.05700882038734048,-0.026600513044864826,0.02691018019031645,16
10,"final ""was"" (next-token readout)",16,0.0036851293959468054,0.06488451590043097,-0.02890807345671442,0.033043224180631305,16
10,"final ""was"" (next-token readout)",17,0.004940500323146522,0.08109784830540066,-0.03460477842391509,0.041339479408280096,16
10,"final ""was"" (next-token readout)",18,0.004029967817610773,0.08118747796661759,-0.035000097420037374,0.04153388678817042,16
10,"final ""was"" (next-token readout)",19,0.004146905664996269,0.07947992565900346,-0.03548312037503037,0.04159401999074756,16
10,"final ""was"" (next-token readout)",20,0.008265722132599363,0.08082315426568958,-0.03015027753475395,0.046431363965742996,16
10,"final ""was"" (next-token readout)",21,0.020436246380742845,0.08042743518860347,-0.01732321905960967,0.059000962196806436,16
10,"final ""was"" (next-token readout)",22,0.03000923826105415,0.08452585621696572,-0.009191791145431531,0.07108504689277055,16
10,"final ""was"" (next-token readout)",23,0.10813126072500442,0.12736981299396874,0.047296137803336476,0.16785452191075786,16
10,"final ""was"" (next-token readout)",24,0.35728325315454096,0.15830902637321376,0.2793309630415746,0.42863709306955444,16
10,"final ""was"" (next-token readout)",25,0.36105777979211906,0.1571644831129838,0.28270646055305526,0.43551883587477974,16
10,"final ""was"" (next-token readout)",26,0.5561141002017957,0.13463323832470375,0.49017057098327893,0.6184156723629124,16
10,"final ""was"" (next-token readout)",27,0.6250507677181507,0.11572226596394063,0.5712622472220857,0.6807050096599708,16
10,"final ""was"" (next-token readout)",28,0.6285833806832084,0.1133924664982844,0.5772658840753592,0.6833323350690598,16
10,"final ""was"" (next-token readout)",29,0.6663399972469081,0.08503334576395247,0.6273461915890313,0.7067801766756501,16
10,"final ""was"" (next-token readout)",30,0.7112334127953257,0.09580406962546839,0.6661986939616606,0.7565936937218003,16
10,"final ""was"" (next-token readout)",31,0.7973590371829452,0.0682264546425213,0.7645608358768112,0.8291572643316618,16
10,"final ""was"" (next-token readout)",32,0.8140982569326094,0.05001638388738913,0.7901295905824604,0.8360774018697903,16
10,"final ""was"" (next-token readout)",33,0.8318969328475867,0.03959728632919305,0.8134352993993554,0.8506842048930624,16
10,"final ""was"" (next-token readout)",34,0.9332503000752556,0.026698618716200537,0.920453621649866,0.9451745526766058,16
10,"final ""was"" (next-token readout)",35,1.0,0.0,1.0,1.0,16
