filler_family,target_added_tokens,actual_added_tokens,metric,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
cards,0,0,intermediate_peak_recovery,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,intermediate_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,post_subject_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,readout_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,stable_crossover_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,steepest_readout_increase_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,steepest_subject_decline_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,strongest_attention_transfer_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,subject_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,8,10,intermediate_peak_recovery,difference,0.017042608323057155,0.012831162502215096,0.058137238015646416,-0.019032236146719374,0.05274228532256161,16,8,20260716,2000
cards,8,10,intermediate_recovery_auc,difference,0.7995259607367533,0.8464477100080325,0.8898460130613708,0.21665499058629487,1.2912472973538565,16,8,20260716,2000
cards,8,10,post_subject_recovery_auc,difference,0.3250926131298135,0.7283435611645999,1.286892978190221,-0.40223824571001576,1.0324996810309406,16,8,20260716,2000
cards,8,10,readout_recovery_auc,difference,-0.5057675030544011,-0.32781899692230354,0.8440343416153346,-0.9929626734421698,-0.013298387277590085,16,8,20260716,2000
cards,8,10,stable_crossover_layer,difference,0.9375,0.0,1.8786076404259264,-0.125,2.3125,16,8,20260716,2000
cards,8,10,steepest_readout_increase_layer,difference,1.5,0.0,3.759432581299116,-0.0015624999999999112,2.9375,16,8,20260716,2000
cards,8,10,steepest_subject_decline_layer,difference,0.625,0.0,4.470272176650247,-1.5,3.0,16,8,20260716,2000
cards,8,10,strongest_attention_transfer_layer,difference,1.25,0.0,3.235222815613581,-0.25,3.25,16,8,20260716,2000
cards,8,10,subject_recovery_auc,difference,-0.4124879979634257,-0.814435336976322,1.3182646513385459,-1.1293377276116292,0.3214882062386511,16,8,20260716,2000
cards,32,29,intermediate_peak_recovery,difference,-0.051852426457452444,-0.05865254709530514,0.07202752124413467,-0.09413826001343858,-0.007597341248686077,16,8,20260716,2000
cards,32,29,intermediate_recovery_auc,difference,0.19977149985776396,0.4175925925925923,1.4808082357299845,-0.5764985404662083,0.9355014787950081,16,8,20260716,2000
cards,32,29,post_subject_recovery_auc,difference,-2.3816220489887807,-2.2502444112841733,1.7383913070726773,-3.177407822802964,-1.595292932655698,16,8,20260716,2000
cards,32,29,readout_recovery_auc,difference,-2.6843496101849498,-2.782021276595745,0.9464135801370593,-3.23428165565126,-2.0938968521412664,16,8,20260716,2000
cards,32,29,stable_crossover_layer,difference,5.25,5.0,1.1254628677422756,4.5,6.0,16,8,20260716,2000
cards,32,29,steepest_readout_increase_layer,difference,6.9375,7.0,2.931865162884087,5.7484375,8.189062499999991,16,8,20260716,2000
cards,32,29,steepest_subject_decline_layer,difference,6.3125,8.0,4.300678241083996,4.1234375,8.5625,16,8,20260716,2000
cards,32,29,strongest_attention_transfer_layer,difference,6.5625,7.5,3.723237838226293,4.3109375,8.5625,16,8,20260716,2000
cards,32,29,subject_recovery_auc,difference,2.3393280692841105,2.1639159360753695,1.7325878859869523,1.5862769868604836,3.1148067180742647,16,8,20260716,2000
cards,64,68,intermediate_peak_recovery,difference,-0.05619292679832662,-0.05099337952081509,0.07760094646436012,-0.10316249015423594,-0.011869635107395079,16,8,20260716,2000
cards,64,68,intermediate_recovery_auc,difference,0.12750125517720184,0.37089343500516203,1.5619554090558339,-0.9214319570028469,1.0199601718981235,16,8,20260716,2000
cards,64,68,post_subject_recovery_auc,difference,-3.1795092899442006,-3.18485133287765,1.6477506455674114,-4.036669713182222,-2.2170295121670383,16,8,20260716,2000
cards,64,68,readout_recovery_auc,difference,-3.283515528063549,-2.9775717703349285,1.2959626733330312,-4.075546850875674,-2.5124904123636105,16,8,20260716,2000
cards,64,68,stable_crossover_layer,difference,6.5,7.0,1.7888543819998317,5.3125,7.6875,16,8,20260716,2000
cards,64,68,steepest_readout_increase_layer,difference,6.625,8.0,3.7394295465128544,5.0,8.3125,16,8,20260716,2000
cards,64,68,steepest_subject_decline_layer,difference,8.3125,9.0,2.548692475237712,6.75,9.5,16,8,20260716,2000
cards,64,68,strongest_attention_transfer_layer,difference,5.25,7.0,4.219004621945797,2.625,8.0,16,8,20260716,2000
cards,64,68,subject_recovery_auc,difference,3.2656817013472375,3.557437737700896,1.7962148641916085,2.1876169674266066,4.220098069555338,16,8,20260716,2000
cards,128,126,intermediate_peak_recovery,difference,-0.12075296508266017,-0.1090047833226244,0.0690146383078972,-0.16254132195202367,-0.07912837317894057,16,8,20260716,2000
cards,128,126,intermediate_recovery_auc,difference,-1.035273916316331,-1.3093121339444864,1.4922639521692185,-1.918707715144391,-0.22155233881543127,16,8,20260716,2000
cards,128,126,post_subject_recovery_auc,difference,-5.34546594191438,-5.587609760216143,1.8446360270455586,-6.192658393862964,-4.371601390943631,16,8,20260716,2000
cards,128,126,readout_recovery_auc,difference,-4.372658193217449,-4.538552817056518,1.391918031275256,-5.1873904096662455,-3.5792928291166253,16,8,20260716,2000
cards,128,126,stable_crossover_layer,difference,7.5,7.0,1.4142135623730951,6.625,8.5,16,8,20260716,2000
cards,128,126,steepest_readout_increase_layer,difference,8.3125,10.0,2.937544325906703,7.0,9.4375,16,8,20260716,2000
cards,128,126,steepest_subject_decline_layer,difference,9.375,10.0,1.1474609652039003,8.625,9.875,16,8,20260716,2000
cards,128,126,strongest_attention_transfer_layer,difference,8.125,8.0,2.3057898140695015,6.496875,9.375,16,8,20260716,2000
cards,128,126,subject_recovery_auc,difference,5.282282247565153,5.546841786359934,1.7919949108031237,4.3511028586367155,6.107863107125946,16,8,20260716,2000
meadow,0,0,intermediate_peak_recovery,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
meadow,0,0,intermediate_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
meadow,0,0,post_subject_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
meadow,0,0,readout_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
meadow,0,0,stable_crossover_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
meadow,0,0,steepest_readout_increase_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
meadow,0,0,steepest_subject_decline_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
meadow,0,0,strongest_attention_transfer_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
meadow,0,0,subject_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
meadow,8,8,intermediate_peak_recovery,difference,-0.007638058646993868,-0.005757485996117903,0.04123778457132565,-0.02383906430891318,0.010766140550918353,16,8,20260716,2000
meadow,8,8,intermediate_recovery_auc,difference,0.22248533950332744,0.4272151898734171,1.8299856277010378,-0.32969566028975283,0.8030727397707349,16,8,20260716,2000
meadow,8,8,post_subject_recovery_auc,difference,-0.3591554305983927,-0.43228966018361925,2.7438389762408453,-1.3085693555387052,0.6706385563160809,16,8,20260716,2000
meadow,8,8,readout_recovery_auc,difference,-0.4192818490613277,-0.7040289623312015,1.6370968641210795,-1.123420893786592,0.40037731777678603,16,8,20260716,2000
meadow,8,8,stable_crossover_layer,difference,0.5625,0.0,1.3149778198382918,-0.1875,1.4375,16,8,20260716,2000
meadow,8,8,steepest_readout_increase_layer,difference,1.25,0.0,3.1937438845342623,-0.0625,2.75,16,8,20260716,2000
meadow,8,8,steepest_subject_decline_layer,difference,1.75,0.0,7.852812659593164,-1.5,5.5,16,8,20260716,2000
meadow,8,8,strongest_attention_transfer_layer,difference,0.9375,0.0,2.5682354513037415,0.0,2.5625,16,8,20260716,2000
meadow,8,8,subject_recovery_auc,difference,0.37921239065741896,0.34829867719923335,2.788364750812657,-0.6234712825193957,1.2769188156646052,16,8,20260716,2000
meadow,32,35,intermediate_peak_recovery,difference,-0.10893573178613805,-0.09497394316886901,0.11265825487974283,-0.17383209857332424,-0.041182217141503684,16,8,20260716,2000
meadow,32,35,intermediate_recovery_auc,difference,-0.44612732734138427,-0.17167422524565418,2.185771088811261,-1.8411856675748814,0.784508574117203,16,8,20260716,2000
meadow,32,35,post_subject_recovery_auc,difference,-3.425913927430032,-2.666862668821194,2.9383940915647995,-4.894984439811322,-1.9909285571133355,16,8,20260716,2000
meadow,32,35,readout_recovery_auc,difference,-2.8372944502642365,-2.8394326265975516,1.7147296878270781,-3.719780600394699,-1.8277608714824807,16,8,20260716,2000
meadow,32,35,stable_crossover_layer,difference,6.0625,6.5,2.048373338367138,4.6859375,7.3140624999999915,16,8,20260716,2000
meadow,32,35,steepest_readout_increase_layer,difference,6.5625,7.5,3.723237838226293,4.3125,8.5,16,8,20260716,2000
meadow,32,35,steepest_subject_decline_layer,difference,10.125,10.0,6.692035066654488,6.125,15.25,16,8,20260716,2000
meadow,32,35,strongest_attention_transfer_layer,difference,7.75,9.0,3.296462750686964,5.25,9.625,16,8,20260716,2000
meadow,32,35,subject_recovery_auc,difference,3.3870533791551485,2.6728528192237864,2.865987670726622,1.9804422547490763,4.849186851440804,16,8,20260716,2000
meadow,64,69,intermediate_peak_recovery,difference,-0.059088864517806386,-0.0752760774845958,0.10820358879380751,-0.1236434388659925,0.002514663555678735,16,8,20260716,2000
meadow,64,69,intermediate_recovery_auc,difference,-0.2674191484485373,0.14904864084370062,2.793403771981126,-2.044454667167338,1.1871717729853206,16,8,20260716,2000
meadow,64,69,post_subject_recovery_auc,difference,-3.06808091023756,-3.133475075338989,3.6641410056355803,-4.715102503143098,-1.5390969512142931,16,8,20260716,2000
meadow,64,69,readout_recovery_auc,difference,-2.7553383881692146,-2.6016703853343777,1.8918891359964725,-3.512427202645794,-2.009917212687704,16,8,20260716,2000
meadow,64,69,stable_crossover_layer,difference,5.8125,5.0,2.1045585443666486,4.4375,7.2515624999999915,16,8,20260716,2000
meadow,64,69,steepest_readout_increase_layer,difference,6.375,7.5,4.2406760467328,3.625,8.875,16,8,20260716,2000
meadow,64,69,steepest_subject_decline_layer,difference,8.75,9.0,7.5321532999092184,4.5,14.0,16,8,20260716,2000
meadow,64,69,strongest_attention_transfer_layer,difference,6.875,9.0,4.2406760467328,3.75,9.375,16,8,20260716,2000
meadow,64,69,subject_recovery_auc,difference,3.0718143263906317,3.0475099348530286,3.60501295838071,1.5758752419719246,4.65450101635303,16,8,20260716,2000
meadow,128,125,intermediate_peak_recovery,difference,-0.11510508988323935,-0.10372512406520155,0.07468653233819501,-0.1607927163148182,-0.07016656439314779,16,8,20260716,2000
meadow,128,125,intermediate_recovery_auc,difference,-1.215663270592176,-0.9683449572894951,2.1141516929530213,-2.7036066789122155,-0.027626920794835086,16,8,20260716,2000
meadow,128,125,post_subject_recovery_auc,difference,-4.79693440444829,-4.5399651669651355,2.413357435334983,-6.076895424264719,-3.5079270707970087,16,8,20260716,2000
meadow,128,125,readout_recovery_auc,difference,-3.518941169540775,-3.4226098724227647,1.3680319143800583,-4.340365264198169,-2.785046190532452,16,8,20260716,2000
meadow,128,125,stable_crossover_layer,difference,7.125,7.0,1.2041594578792296,6.5,7.875,16,8,20260716,2000
meadow,128,125,steepest_readout_increase_layer,difference,7.75,9.0,3.1304951684997055,6.3125,9.0625,16,8,20260716,2000
meadow,128,125,steepest_subject_decline_layer,difference,10.1875,10.0,4.118555572042218,8.5,12.4375,16,8,20260716,2000
meadow,128,125,strongest_attention_transfer_layer,difference,9.0,10.0,1.2110601416389966,8.25,9.75,16,8,20260716,2000
meadow,128,125,subject_recovery_auc,difference,4.743762192819516,4.330773595094064,2.425122626279519,3.4372984835485494,6.05635588719978,16,8,20260716,2000
room,0,0,intermediate_peak_recovery,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,intermediate_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,post_subject_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,readout_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,stable_crossover_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,steepest_readout_increase_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,steepest_subject_decline_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,strongest_attention_transfer_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,subject_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,8,8,intermediate_peak_recovery,difference,-0.005883218145511449,0.0029153700555003548,0.07733371749846808,-0.06101898642440783,0.03398468900520741,16,8,20260716,2000
room,8,8,intermediate_recovery_auc,difference,0.24465060570791705,0.33154750391432675,1.8148731930215445,-1.017248828160386,1.1841635456770383,16,8,20260716,2000
room,8,8,post_subject_recovery_auc,difference,0.31433384524480085,0.7236854365561198,1.85426745256772,-0.9887548766696205,1.2737519939283846,16,8,20260716,2000
room,8,8,readout_recovery_auc,difference,0.1562784780946201,-0.11647817776361968,0.8441866374396744,-0.26849168539291574,0.6281830093589753,16,8,20260716,2000
room,8,8,stable_crossover_layer,difference,-0.375,0.0,1.2583057392117916,-1.25,0.375,16,8,20260716,2000
room,8,8,steepest_readout_increase_layer,difference,-1.125,-0.5,4.602535533087532,-2.75,0.75,16,8,20260716,2000
room,8,8,steepest_subject_decline_layer,difference,-0.0625,0.0,5.555402775677026,-2.4375,2.5,16,8,20260716,2000
room,8,8,strongest_attention_transfer_layer,difference,-0.875,-1.5,5.942782737629457,-4.75,3.125,16,8,20260716,2000
room,8,8,subject_recovery_auc,difference,-0.30166239461460154,-0.6313100679963615,1.8492308909596558,-1.2153281564545442,0.9839470145947612,16,8,20260716,2000
room,32,28,intermediate_peak_recovery,difference,-0.04687790567833331,-0.06185712763735186,0.08488610039043765,-0.09089683503218302,-0.0028749139023695304,16,8,20260716,2000
room,32,28,intermediate_recovery_auc,difference,-0.17094554348059673,-0.6602560883877182,2.343300902217963,-1.3031382833752763,0.8795631333471892,16,8,20260716,2000
room,32,28,post_subject_recovery_auc,difference,-2.271042593767128,-2.7894019686105693,3.078725028014685,-3.5000600309576866,-1.0993299932391036,16,8,20260716,2000
room,32,28,readout_recovery_auc,difference,-2.1784205506854444,-2.0365846646976573,1.0868809962832082,-2.651996570763517,-1.7025561478607087,16,8,20260716,2000
room,32,28,stable_crossover_layer,difference,4.6875,5.0,1.25,3.8125,5.4375,16,8,20260716,2000
room,32,28,steepest_readout_increase_layer,difference,4.9375,7.0,3.785388575386504,2.875,6.9375,16,8,20260716,2000
room,32,28,steepest_subject_decline_layer,difference,8.125,8.0,5.6317552030132365,5.4375,11.251562499999991,16,8,20260716,2000
room,32,28,strongest_attention_transfer_layer,difference,4.125,3.0,3.7394295465128544,1.875,6.375,16,8,20260716,2000
room,32,28,subject_recovery_auc,difference,2.2652139365736232,2.924379077513745,3.0768221242990816,1.0920571610697927,3.515173665182397,16,8,20260716,2000
room,64,66,intermediate_peak_recovery,difference,-0.1284361786063446,-0.11952630503204795,0.11316612545723677,-0.1915224986100988,-0.06143130001524154,16,8,20260716,2000
room,64,66,intermediate_recovery_auc,difference,-0.7029578409310943,-0.22023606855067585,1.9644388174979899,-1.957261735407952,0.46805542864078387,16,8,20260716,2000
room,64,66,post_subject_recovery_auc,difference,-4.6846618844837185,-4.856368770758667,2.1482704040803133,-5.939659692767335,-3.5388851096688305,16,8,20260716,2000
room,64,66,readout_recovery_auc,difference,-3.900697360304438,-3.7235812991021318,1.628275169201541,-4.8524610481876955,-3.1145079397134463,16,8,20260716,2000
room,64,66,stable_crossover_layer,difference,6.875,7.0,1.4548768561863463,6.0,7.875,16,8,20260716,2000
room,64,66,steepest_readout_increase_layer,difference,8.0,8.0,2.0330600909302543,7.1875,8.6875,16,8,20260716,2000
room,64,66,steepest_subject_decline_layer,difference,9.25,10.0,1.3416407864998738,8.375,10.0,16,8,20260716,2000
room,64,66,strongest_attention_transfer_layer,difference,8.625,8.0,1.1474609652039003,7.875,9.375,16,8,20260716,2000
room,64,66,subject_recovery_auc,difference,4.651420524894169,4.96244546738299,2.046252439345041,3.553517997507675,5.8046648924136095,16,8,20260716,2000
room,128,127,intermediate_peak_recovery,difference,-0.18157976525754155,-0.17457881747231246,0.1347716664025067,-0.26334987632359624,-0.1037379616072321,16,8,20260716,2000
room,128,127,intermediate_recovery_auc,difference,-1.8851466085670676,-1.59647517887152,2.206261883396048,-3.167820065492729,-0.7468384000978747,16,8,20260716,2000
room,128,127,post_subject_recovery_auc,difference,-6.089136688705754,-5.580713162480345,3.830802869541456,-8.488902963801825,-4.1163648409291715,16,8,20260716,2000
room,128,127,readout_recovery_auc,difference,-4.417792194849767,-3.379873537531769,2.801226795473417,-6.187921023920165,-3.1604926146559715,16,8,20260716,2000
room,128,127,stable_crossover_layer,difference,7.0,7.0,1.8257418583505538,5.9375,8.25,16,8,20260716,2000
room,128,127,steepest_readout_increase_layer,difference,6.6875,7.0,2.600480724789169,5.8125,7.625,16,8,20260716,2000
room,128,127,steepest_subject_decline_layer,difference,9.25,10.0,1.3416407864998738,8.375,10.0,16,8,20260716,2000
room,128,127,strongest_attention_transfer_layer,difference,5.4375,5.0,2.0966242709015206,4.1859375,6.875,16,8,20260716,2000
room,128,127,subject_recovery_auc,difference,6.115858904178582,5.329678269369717,3.813153083262966,4.1390719598422265,8.50859725535064,16,8,20260716,2000
